Name of Library ,Type of Library ,Number of works ,Links to Omeka Items,Location,Area,ISIL Code ,Alphabetica: Library History,Library website ,Latitude,Longitude
Biblioteca nazionale centrale di Firenze,Biblioteca nazionale centrale ,51,,Firenze (FI),Centre,,,http://www.bncf.firenze.sbn.it,43.7668975,11.2622704
Biblioteca della Fondazione Marco Besso	,Specializzata; ,14,,Roma (RM),Centre,,,https://www.fondazionemarcobesso.net/la-biblioteca,41.896832,12.4763946
Biblioteca nazionale centrale di Roma,Biblioteca nazionale centrale ,14,,Roma (RM),Centre,,,http://www.bncrm.librari.beniculturali.it,41.9060993,12.5055046
Biblioteca comunale Augusta,Biblioteca comunale; Importante non specializzata,12,,Perugia (PG),Centre,IT-PG0109,,http://turismo.comune.perugia.it/pagine/augusta,43.1138116,12.3907164
Biblioteca comunale Labronica Francesco Domenico Guerrazzi. Sezione catalografica e magazzino librario,Biblioteca comunale; Importante non specializzata,11,,Livorno (LI),Centre,,,http://brunelleschi.imss.fi.it/ist/luogo/bibliotecacomunalelabronicaguerrazzi.html,43.5353465,10.3195735
Biblioteca comunale Mozzi-Borgetti,Biblioteca comunale; Biblioteca importante non specializzata,10,,Macerata (MC),Centre,IT-MC0049,,http://www.comune.macerata.it/aree-tematiche/cultura-turismo/servizi-per-la-cultura/biblioteca-comunale-2,43.2989868,13.4513136
Biblioteca Marucelliana,Biblioteca pubblica; Biblioteca importante non specializzata,8,,Firenze (FI),Centre,IT-FI0101,,http://www.maru.firenze.sbn.it,43.7761331,11.2568357
Biblioteca Statale di Lucca,Biblioteca pubblica statale ,8,,Lucca (LU),Centre,,,http://www.bibliotecastatalelucca-bslu.beniculturali.it/,43.844903,10.501279
Biblioteca del Gabinetto Scientifico Letterario G.P. Vieusseux,Biblioteca importante non specializzata; ,7,,Firenze (FI),Centre,,,http://www.vieusseux.it/biblioteca.html,43.7710706,11.2521786
Biblioteca del Liceo ginnasio statale Ennio Quirino Visconti,,7,,Roma (RM),Centre,,,https://www.liceoeqvisconti.edu.it/,41.8979903,12.4775755
"Biblioteca dell'Accademia Petrarca di lettere, arti e scienze",Specializzata,7,,Arezzo (AR),Centre,IT-AR0010,,http://www.accademiapetrarca.it,43.4661281,11.8835984
Biblioteca Angelica,Specializzata,6,,Roma (RM),Centre,IT-RM0290,,http://www.biblioangelica.it,41.9006788,12.4741905
Biblioteca della Fondazione Spadolini Nuova Antologia,Specializzata,6,,Firenze (FI),Centre,IT-FI0568,,http://www.nuovaantologia.it/htdocs/index.html,43.7446544,11.2667721
Biblioteca diocesana Alessandro VII,Specializzata,6,,Monteriggioni (SI),Centre,IT-SI0056,,,43.3522895,11.311794
Biblioteca della Società dantesca italiana,Specializzata,5,,Firenze (FI),Centre,IT-FI0115,,http://www.dantesca.it/fbibl.html,43.770291,11.254696
Biblioteca Leoniana,Importante non specializzata,5,,Pistoia (PT),Centre,IT-PT0019,,http://biblio.comune.pistoia.it/library/Pistoia-Leoniana/,43.931371,10.91016
Biblioteca statale del Monumento Nazionale di Grottaferrata,Pubblica,5,,Grottaferrata (RM),Centre,IT-RM0039,,http://www.bibliotecagrottaferrata.beniculturali.it/,41.7866424,12.6664928
Biblioteca Universitaria,Pubblica,5,,Pisa (PI),Centre,IT-BO0098,,http://www.bub.unibo.it,44.4971148,11.3528491
Biblioteca Universitaria,Importante non specializzata,5,,Pisa (PI),Centre,IT-PV0291,,http://www.bibliotecauniversitariapavia.it,45.186513,9.155929
Biblioteca di Filosofia -  Sapienza Università di Roma,Biblioteca Universitaria,4,,Roma (RM),Centre,,,https://web.uniroma1.it/bibliofilosofia/home,41.918667,12.5150445
Biblioteca 'Salvatore Tommasi',Importante non specializzata,4,,L'Aquila (AQ),Centre,,,http://www.provincia.laquila.it/servizi/biblioteca.html,42.3507794,13.3989336
Biblioteca Casanatense,Specializzata,3,,Roma (RM),Centre,IT-RM0313,,http://www.casanatense.it,41.8987548,12.4794597
Biblioteca comunale Adolfo Betti,Pubblica,3,,Bagni di Lucca (LU),Centre,IT-LU0003,,http://www.provincia.lucca.it/biblioteche/accessibile/sezionisottocategorie/paginabiblioteca.asp?cat=9&scat=114&sscat=113,44.0344784,10.6421799
Biblioteca provinciale Gabriele D'Annunzio,Importante non specializzata,2,,Pescara (PE),Centre,,,http://www.provincia.pescara.it,42.4659112,14.2145706
