Name of Library ,Type of Library,Number of works,Links to Omeka Items,Location,Area,ISIL Code,Alphabetica: Library History,Library website ,Latitude,Longitude
Archivi Contemporanei di Storia Politica della Fondazione Cassamarca,Non specificata,1,,Roncade (TV),North,IT-TV0183,,,45.5980578,12.4362345
Archivio di Stato di Piacenza - Biblioteca,Biblioteca Specializzata,1,,Piacenza (PC),North,IT-PC0027,,http://www.archiviodistatopiacenza.beniculturali.it,45.0554259,9.6952686
Archivio storico comunale. Fondo antico Roncalli,Biblioteca Specializzata,1,,Vigevano (PV),North,IT-PV0205,,,45.3166863,8.8559465
Biblioteca Accademia dei Concordi,"Biblioteca Specializzata; Accademie, associazioni, fondazioni, istituti, societa' (privati)",4,,Rovigo (RO),North,IT-RO0049,,,45.0709911,11.7902264
Biblioteca antica del Collegio Mellerio Rosmini,Biblioteca Importante non specializzata; Enti ecclesiastici,3,,Domodossola (VB),North,IT-VB0032,,,46.1140718,8.2904865
Biblioteca 'Antonio Panizzi',Biblioteca pubblica,1,,Reggio nell'Emilia (RE),North,IT-RE0052,,,44.6966785,10.6294734
Biblioteca del Dipartimento di scienze dell'educazione - sezione di via Beato Pellegrino,Biblioteca universitaria,6,,Padova (PD),North,IT-PD0464,,http://polopellegrino.cab.unipd.it/Edu/homeEdu,45.4139524,11.8717944
Biblioteca centrale dell'Area umanistica dell'Università degli Studi di Urbino Carlo Bo,Biblioteca universitaria,3,,Urbino (PU),North,IT-PU0206,,,43.722912,12.636658
Biblioteca civica di Varese,Biblioteca civica; Biblioteca importante non specializzata,14,,Varese (VA),North,IT-VA0116,,http://www.varesecultura.it/biblioteche,45.8187432,8.8237287
Biblioteca civica,Biblioteca civica; Biblioteca importante non specializzata,2,,Vercelli (VC),North,IT-VC0073,,http://www.comune.vercelli.it/cultura/biblioteca/biblioteca/default.htm,45.3238849,8.4246265
Biblioteca civica,Biblioteca civica; Biblioteca importante non specializzata,1,,Belluno (BL),North,IT-BI0006,,,45.6856332,8.2456952
Biblioteca civica Angelo Mai e Archivi storici,Biblioteca civica; Biblioteca importante non specializzata,5,,Bergamo (BG),North,IT-BG0026,,,45.7042553,9.6632426
Biblioteca civica Attilio Hortis,Biblioteca civica; Biblioteca importante non specializzata,2,,Trieste (TS),North,IT-TS0013,,http://www.bibliotecacivicahortis.it,45.646956,13.7677761
Biblioteca civica Benedetto Croce,Biblioteca civica; biblioteca pubblica,1,,Pollone (BI),North,IT-BI0010,,,45.5820154,7.9997266
Biblioteca civica Berio,Biblioteca civica; biblioteca pubblica,21,,Genova (GE),North,IT-GE0036,,,44.4050577,8.9370819
Biblioteca civica Bertoliana Palazzo San Giacomo di Vicenza,Biblioteca civica; biblioteca pubblica,8,,Vicenza (VI),North,IT-VI0096,,,45.548426,11.5446616
Biblioteca civica Camillo Alliaudi,Biblioteca civica; Biblioteca importante non specializzata,3,,Pinerolo (TO),North,IT-TO0162,,http://www.comune.pinerolo.to.it/serv_strutture/biblioteche/alliaudi/index.htm,44.8877529,7.334803
Biblioteca civica Carlo Negroni,Biblioteca civica; biblioteca pubblica,1,,Novara (NO),North,	IT-NO0054,,,45.4468272,8.6225787
Biblioteca civica centrale,Biblioteca civica; Biblioteca importante non specializzata,14,,Torino (TO),North,IT-MI0377,,http://www.comune.monza.mi.it,45.58392,9.272432
Biblioteca civica centrale,Biblioteca civica; Biblioteca importante non specializzata,14,,Torino (TO),North,IT-TO0240,,http://www.comune.torino.it/cultura/biblioteche/sedi_orari/civica_centrale.shtml,45.0744005,7.6747792
Biblioteca civica centrale,Biblioteca civica; Biblioteca importante non specializzata,14,,Torino (TO),North,IT-TO0516,,,45.0326301,7.5228443
Biblioteca civica di Bassano del Grappa,Biblioteca civica; biblioteca pubblica,3,,Bassano del Grappa (VI),North,IT-VI0005,,,45.766054,11.7361327
