library_name,number_of_works,place,area,latitude,longitude
"Biblioteca Nazionale Sagarriga Visconti Volpi ",10,"South and the Islands "," Bari (BA)",41.1287723,16.846345
"Biblioteca comunale Gaetano Filangieri ",10,"South and the Islands "," Castellammare di Stabia (NA)",40.6984726,14.4725394
"Biblioteca nazionale Vittorio Emanuele III ",9,"South and the Islands "," Napoli (NA)",40.8374481,14.250028
"Biblioteca provinciale La Magna Capitana ",8,"South and the Islands "," Foggia (FG)",41.4561641,15.5598138
"Biblioteca Accademia Pontaniana ",4,"South and the Islands "," Napoli (NA)",40.846257,14.2564484
"Biblioteca della Fondazione Benedetto Croce ",4,"South and the Islands "," Napoli (NA)",40.8476575,14.2531185
"Biblioteca comunale ",4,"South and the Islands "," Casamassima (BA)",40.9554505,16.9192379
"Biblioteca comunale Pietro De Nava ",4,"South and the Islands "," Reggio di Calabria (RC)",38.1149011,15.6526688
"Biblioteca universitaria di Napoli ",3,"South and the Islands "," Napoli (NA)",40.8471267,14.2467174
"Biblioteca civica ",3,"South and the Islands "," Cosenza (CS)",39.2867842,16.2587745
"Biblioteca Etnografica Giuseppe Pitré ",2,"South and the Islands "," Palermo (PA)",38.1668896,13.3309876
"Biblioteca provinciale Antonio Mellusi ",2,"South and the Islands "," Benevento (BN)",41.1304679,14.7798542
"Biblioteca comunale Giuseppe Melli ",2,"South and the Islands "," San Pietro Vernotico (BR)",40.4862656,17.9890931
"Biblioteca Roberto Caracciolo ",2,"South and the Islands "," Lecce (LE)",40.355231,18.1806364
"Biblioteca dell'Istituto italiano per gli studi storici ",2,"South and the Islands "," Napoli (NA)",40.847814,14.2327814
"Biblioteca Comunale ",2,"South and the Islands "," Pomigliano d'Arco (NA)",40.9096456,14.3775276
"Biblioteca del Seminario vescovile di Lucera ",1,"South and the Islands "," Lucera (FG)",41.5075372,12.6970661
"Biblioteca pubblica arcivescovile Annibale De Leo ",1,"South and the Islands "," Brindisi (BR)",40.64009,17.94475
"Biblioteca civica Pietro Acclavio ",1,"South and the Islands "," Taranto (TA)",40.4637838,17.2580709
"Biblioteca del Museo Archeologico Regionale 'Antonino Salinas' ",1,"South and the Islands "," Palermo (PA)",38.1065409,13.3553101
"Biblioteca Ss. Crocifisso dei Frati Minori Cappuccini di Calabria ",1,"South and the Islands "," Cosenza (CS)",39.2921176,16.25057
"Biblioteca Provinciale S. e G. Capone ",1,"South and the Islands "," Avellino (AV)",40.9120228,14.7849638
"Biblioteca regionale universitaria ",1,"South and the Islands "," Catania (CT)",37.5036918,15.086723
"Biblioteca comunale Marco Gatti ",1,"South and the Islands "," Manduria (TA)",40.3990947,17.6352815
"Biblioteca Metropolitana De Gemmis ",1,"South and the Islands "," Bari (BA)",41.1279808,16.8698908
"Biblioteca Seminariale Paolo VI ",1,"South and the Islands "," Aversa (CE)",40.9772954,14.2035587
"Biblioteca Painiana del Seminario Arcivescovile S. Pio X ",1,"South and the Islands "," Messina (ME)",38.2138693,15.5491725
"Biblioteca centrale della Regione siciliana Alberto Bombace ",1,"South and the Islands "," Palermo (PA)",38.1142748,13.3577412
"Biblioteca nazionale ",1,"South and the Islands "," Cosenza (CS)",39.2884033,16.2616807
"Biblioteca comunale Aldo Manuzio ",1,"South and the Islands "," Latina (LT)",41.4665769,12.900779
"Biblioteca dell'Abbazia di San Michele Arcangelo ",1,"South and the Islands "," Procida (NA)",40.7955863,14.1080905
"Biblioteca Porziuncola ",1,"South and the Islands "," Assisi (PG)",41.1304679,14.7798542
"Biblioteca comunale Simone Corleo ",1,"South and the Islands "," Salemi (TP)",37.8168684,12.8014158
"Biblioteca diocesana Giovanni Biagio Amico ",1,"South and the Islands "," Erice (TP)",38.0291678,12.548478
"Biblioteca dell'Archivio di Stato di Campobasso ",1,"South and the Islands "," Campobasso (CB)",41.5619864,14.6600029
"Biblioteca Provinciale di Potenza ",1,"South and the Islands "," Potenza (PZ)",40.643824,15.8021339
"Biblioteca del Seminario vescovile ",1,"South and the Islands "," Molfetta (BA)",41.198354,16.5982243
"Biblioteca comunale Giuseppe Tescione ",1,"South and the Islands "," Caserta (CE)",41.0728994,14.3210459
"BIBLIOTECA PROVINCIALE DI SALERNO ",1,"South and the Islands "," Salerno (SA)",40.6853053,14.7681111
"Biblioteca Apulia ",1,"South and the Islands "," Manduria (TA)",40.40126,17.6332985
"Biblioteca del Museo etnografico Beniamino Tartaglia ",1,"South and the Islands "," Aquilonia (AV)",40.9888491,15.4766747
"Biblioteca comunale Pietro Siciliani ",1,"South and the Islands "," Galatina (LE)",40.1762771,18.1676235
"Biblioteca della Società napoletana di storia patria ",1,"South and the Islands "," Napoli (NA)",40.8381835,14.2530911
"BIBLIOTECA DELLA GALLERIA REGIONALE DELLA SICILIA DI PALAZZO ABATELLIS ",1,"South and the Islands "," Palermo (PA) ",38.1266204,13.3422944
"Biblioteca comunale Imbriani Poerio ",1,"South and the Islands "," Pomigliano d'Arco (NA)",40.9040593,14.3831195
"Biblioteca Pubblica Statale annessa al Monumento nazionale di Montevergine ",1,"South and the Islands "," Mercogliano (AV)",40.9189262,14.7494855
"Biblioteca della Società di storia patria per la Sicilia orientale dell'Università degli studi di Catania ",1,"South and the Islands "," Catania (CT)",37.5077302,15.0857058
"Biblioteca p. Dionisio Piccirilli ",1,"South and the Islands "," Campobasso (CB)",41.5529173,14.6826205
"Polo Bibliomuseale Biblioteca ",1,"South and the Islands "," Brindisi (BR)",40.6326216,17.9384183
"Biblioteca Pasquale Albino ",1,"South and the Islands "," Campobasso (CB)",41.5619342,14.662227
