library_name,number_of_works,place,area,latitude,longitude
Biblioteca della Fondazione Guido Lodovico Luzzatto ,1, Milano (MI),North ,41.9060021,12.5078336
Biblioteca Seminariale Paolo VI ,1, Aversa (CE),North ,40.9772954,14.2035587
Biblioteca comunale Giuseppe Melli ,2, San Pietro Vernotico (BR),North ,40.4862656,17.9890931
Biblioteca interdipartimentale di Scienze giuridiche   Sapienza Università di Roma ,1,Roma (RM),Centre,41.9037144,12.5146616
Biblioteca Centrale Giuridica ,1, Roma (RM),Centre,41.9043765,12.4677826
Biblioteca della Fondazione Lelio e Lisli Basso Onlus,1, Roma (RM),Centre,41.8987456,12.4753995
Biblioteca della Fondazione Gramsci ,1, Roma (RM),Centre,41.9228739,12.5063569
Biblioteca dell'Istituto della enciclopedia italiana Giovanni Treccani ,1, Roma (RM),Centre,41.8943546,12.4774983
Biblioteca dell'Accademia nazionale di San Luca ,1, Roma (RM),Centre,41.9015916,12.4630902
Biblioteca del Collegio San Bonaventura ,1, Roma (RM),Centre,41.8490024,12.5668473
Biblioteca statale Antonio Baldini ,1, Roma (RM),Centre,41.9195802,12.4855966
Biblioteca di storia moderna e contemporanea ,2, Roma (RM),Centre,41.8939996,12.478245
"Biblioteca Angelo Monteverdi per gli studi filologici, linguistici e letterari, Sapienza Università di Roma ",2, Roma (RM),Centre,41.9024057,12.5158977
Biblioteca della Società romana di storia patria ,2, Roma (RM),Centre,41.8982163,12.4694905
Biblioteca Casanatense ,3, Roma (RM),Centre,41.8986879,12.4794511
Biblioteca di Filosofia -  Sapienza Università di Roma ,4, Roma (RM),Centre,41.918663,12.5176248
Biblioteca Angelica ,6, Roma (RM),Centre,41.9008002,12.4744636
Biblioteca del Liceo ginnasio statale Ennio Quirino Visconti ,7, Roma (RM),Centre,41.9036563,12.4886484
Biblioteca Marco Besso ,14, Roma (RM),Centre,41.8962638,12.4769041
Biblioteca nazionale centrale ,14, Roma (RM),Centre,41.9055533,12.5082884
Biblioteca Fondazione Maria e Goffredo Bellonci ,1, Roma (RM) ,Centre,41.9233583,12.4962473
Biblioteca Porziuncola ,1, Assisi (PG),Centre,41.1304679,14.7798542
Biblioteca comunale Aldo Manuzio ,1, Latina (LT),Centre,41.4665769,12.900779
Biblioteca comunale G. Altieri ,1, Morolo (FR),Centre,41.6402504,13.196105
Biblioteca diocesana ,2, Tivoli (RM),Centre,41.9580215,12.7886959
Biblioteca statale del Monumento nazionale di S. Scolastica ,1, Subiaco (RM),Centre,41.9184618,13.1111243
Biblioteca statale del Monumento Nazionale di Grottaferrata ,5, Grottaferrata (RM),Centre,41.7860126,12.6664368
Biblioteca Nazionale Sagarriga Visconti Volpi ,10, Bari (BA),South and the Islands ,41.1287723,16.846345
Biblioteca comunale Gaetano Filangieri ,10, Castellammare di Stabia (NA),South and the Islands ,40.6984726,14.4725394
Biblioteca nazionale Vittorio Emanuele III ,9, Napoli (NA),South and the Islands ,40.8374481,14.250028
Biblioteca provinciale La Magna Capitana ,8, Foggia (FG),South and the Islands ,41.4561641,15.5598138
Biblioteca Accademia Pontaniana ,4, Napoli (NA),South and the Islands ,40.846257,14.2564484
Biblioteca della Fondazione Benedetto Croce ,4, Napoli (NA),South and the Islands ,40.8476575,14.2531185
Biblioteca comunale ,4, Casamassima (BA),South and the Islands ,40.9554505,16.9192379
Biblioteca comunale Pietro De Nava ,4, Reggio di Calabria (RC),South and the Islands ,38.1149011,15.6526688
Biblioteca universitaria di Napoli ,3, Napoli (NA),South and the Islands ,40.8471267,14.2467174
Biblioteca civica ,3, Cosenza (CS),South and the Islands ,39.2867842,16.2587745
Biblioteca Etnografica Giuseppe Pitré ,2, Palermo (PA),South and the Islands ,38.1668896,13.3309876
Biblioteca provinciale Antonio Mellusi ,2, Benevento (BN),South and the Islands ,41.1304679,14.7798542
Biblioteca comunale Giuseppe Melli ,2, San Pietro Vernotico (BR),South and the Islands ,40.4862656,17.9890931
Biblioteca Roberto Caracciolo ,2, Lecce (LE),South and the Islands ,40.355231,18.1806364
Biblioteca dell'Istituto italiano per gli studi storici ,2, Napoli (NA),South and the Islands ,40.847814,14.2327814
Biblioteca Comunale ,2, Pomigliano d'Arco (NA),South and the Islands ,40.9096456,14.3775276
Biblioteca del Seminario vescovile di Lucera ,1, Lucera (FG),South and the Islands ,41.5075372,12.6970661
Biblioteca pubblica arcivescovile Annibale De Leo ,1, Brindisi (BR),South and the Islands ,40.64009,17.94475
Biblioteca civica Pietro Acclavio ,1, Taranto (TA),South and the Islands ,40.4637838,17.2580709
Biblioteca del Museo Archeologico Regionale 'Antonino Salinas' ,1, Palermo (PA),South and the Islands ,38.1065409,13.3553101
Biblioteca Ss. Crocifisso dei Frati Minori Cappuccini di Calabria ,1, Cosenza (CS),South and the Islands ,39.2921176,16.25057
Biblioteca Provinciale S. e G. Capone ,1, Avellino (AV),South and the Islands ,40.9120228,14.7849638
Biblioteca regionale universitaria ,1, Catania (CT),South and the Islands ,37.5036918,15.086723
Biblioteca comunale Marco Gatti ,1, Manduria (TA),South and the Islands ,40.3990947,17.6352815
Biblioteca Metropolitana De Gemmis ,1, Bari (BA),South and the Islands ,41.1279808,16.8698908
Biblioteca Seminariale Paolo VI ,1, Aversa (CE),South and the Islands ,40.9772954,14.2035587
Biblioteca Painiana del Seminario Arcivescovile S. Pio X ,1, Messina (ME),South and the Islands ,38.2138693,15.5491725
Biblioteca centrale della Regione siciliana Alberto Bombace ,1, Palermo (PA),South and the Islands ,38.1142748,13.3577412
Biblioteca nazionale ,1, Cosenza (CS),South and the Islands ,39.2884033,16.2616807
Biblioteca comunale Aldo Manuzio ,1, Latina (LT),South and the Islands ,41.4665769,12.900779
Biblioteca dell'Abbazia di San Michele Arcangelo ,1, Procida (NA),South and the Islands ,40.7955863,14.1080905
Biblioteca Porziuncola ,1, Assisi (PG),South and the Islands ,41.1304679,14.7798542
Biblioteca comunale Simone Corleo ,1, Salemi (TP),South and the Islands ,37.8168684,12.8014158
Biblioteca diocesana Giovanni Biagio Amico ,1, Erice (TP),South and the Islands ,38.0291678,12.548478
Biblioteca dell'Archivio di Stato di Campobasso ,1, Campobasso (CB),South and the Islands ,41.5619864,14.6600029
Biblioteca Provinciale di Potenza ,1, Potenza (PZ),South and the Islands ,40.643824,15.8021339
Biblioteca del Seminario vescovile ,1, Molfetta (BA),South and the Islands ,41.198354,16.5982243
Biblioteca comunale Giuseppe Tescione ,1, Caserta (CE),South and the Islands ,41.0728994,14.3210459
BIBLIOTECA PROVINCIALE DI SALERNO ,1, Salerno (SA),South and the Islands ,40.6853053,14.7681111
Biblioteca Apulia ,1, Manduria (TA),South and the Islands ,40.40126,17.6332985
Biblioteca del Museo etnografico Beniamino Tartaglia ,1, Aquilonia (AV),South and the Islands ,40.9888491,15.4766747
Biblioteca comunale Pietro Siciliani ,1, Galatina (LE),South and the Islands ,40.1762771,18.1676235
Biblioteca della Società napoletana di storia patria ,1, Napoli (NA),South and the Islands ,40.8381835,14.2530911
BIBLIOTECA DELLA GALLERIA REGIONALE DELLA SICILIA DI PALAZZO ABATELLIS ,1, Palermo (PA) ,South and the Islands ,38.1266204,13.3422944
Biblioteca comunale Imbriani Poerio ,1, Pomigliano d'Arco (NA),South and the Islands ,40.9040593,14.3831195
Biblioteca Pubblica Statale annessa al Monumento nazionale di Montevergine ,1, Mercogliano (AV),South and the Islands ,40.9189262,14.7494855
Biblioteca della Società di storia patria per la Sicilia orientale dell'Università degli studi di Catania ,1, Catania (CT),South and the Islands ,37.5077302,15.0857058
Biblioteca p. Dionisio Piccirilli ,1, Campobasso (CB),South and the Islands ,41.5529173,14.6826205
Polo Bibliomuseale Biblioteca ,1, Brindisi (BR),South and the Islands ,40.6326216,17.9384183
Biblioteca Pasquale Albino ,1, Campobasso (CB),South and the Islands ,41.5619342,14.662227
