library,number_of_books_held,place,longitude,latitude
Archivio di Stato di Piacenza ,1, Piacenza (PC),9.6934106,45.0555141
Biblioteca del Centro studi Piero Gobetti ,1, Torino (TO),7.6746404,45.0732936
Biblioteca interdipartimentale di Scienze giuridiche   Sapienza Università di Roma ,1,Roma (RM),12.5146616,41.9037144
Biblioteca di scienze sociali dell'Università degli studi di Firenze ,1, Firenze (FI),11.1891977,43.7923929
Biblioteca provinciale dei Frati minori dell'Emilia. Sezione Biblioteca dello Studio teologico S. Antonio ,1, Bologna (BO),11.3595585,44.48633
Biblioteca Ss. Crocifisso dei Frati Minori Cappuccini di Calabria ,1, Cosenza (CS),16.25057,39.2921176
Archivi Contemporanei di Storia Politica della Fondazione Cassamarca ,1,Roncade (TV),12.245534,45.6661395
Biblioteca comunale Alessandro Minuziano ,1, San Severo (FG),15.3758423,41.6823966
Biblioteca di filosofia. Università degli studi di Padova ,1, Padova (PD),11.8722889,45.4076984
Biblioteca e Musei Oliveriani ,1, Pesaro (PU),12.9097096,43.9099357
Biblioteca Seminariale Paolo VI ,1, Aversa (CE),14.2035587,40.9772954
Biblioteca del Collegio San Bonaventura ,1, Roma (RM),12.5668473,41.8490024
Biblioteca del Seminario maggiore ,1, Parma (PR),10.3307643,44.8027798
Biblioteca di Storia contemporanea Alfredo Oriani ,1, Ravenna (RA),12.200151,44.415925
Biblioteca Statale Isontina ,1, Gorizia (GO),13.623867,45.9463
Biblioteca comunale Francesco Selmi ,1, Vignola (MO),11.0033071,44.4803548
Biblioteca comunale Giuseppe Ceccarelli ,1, Gatteo (FC),12.3855219,44.1073346
Biblioteca dell'Istituto della enciclopedia italiana Giovanni Treccani ,1, Roma (RM),12.4774983,41.8943546
Biblioteca diocesana di Alba ,1, Alba (CN),2.7612794,44.6988649
Biblioteca civica Benedetto Croce ,1, Pollone (BI),7.9966803,45.5819886
Biblioteca comunale Luigi Dal Pane ,1, Castel Bolognese (RA) ,11.7982483,44.3194169
Biblioteca comunale Pietro Siciliani ,1, Galatina (LE),18.1676235,40.1762771
"Biblioteca Umanistica - Lettere,  Università degli studi di Firenze ",1, Firenze (FI),11.2610874,43.7744369
Biblioteca comunale G. Altieri ,1, Morolo (FR),13.196105,41.6402504
Biblioteca di Filosofia e scienze umane del Dipartimento di Studi umanistici dell'Università degli studi di Macerata ,1, Macerata (MC),13.4485044,43.3003206
Biblioteca Metropolitana De Gemmis ,1, Bari (BA),16.8698908,41.1279808
Biblioteca della Fondazione Lelio e Lisli Basso Onlus,1, Roma (RM),12.4753995,41.8987456
Biblioteca Porziuncola ,1, Assisi (PG),14.7798542,41.1304679
"Biblioteca Statale del Monumento Nazionale di Santa 
Giustina ",1, Padova (PD),11.879871,45.396337
Biblioteca comunale Marco Gatti ,1, Manduria (TA),17.6352815,40.3990947
Biblioteca dell'Istituto Tecnico Statale del Settore Tecnologico 'Alessandro Volta' ,1, Trieste (TS),13.7880066,45.6591167
