library,number_of_books_held,place,lat,long,longitude,latitude
"Biblioteca interdipartimentale di Scienze giuridiche   Sapienza Università di Roma ",1,Roma (RM),41.9037144,12.5146616,12.5146616,41.9037144
"Biblioteca Ss. Crocifisso dei Frati Minori Cappuccini di Calabria ",1," Cosenza (CS)",39.2921176,16.25057,16.25057,39.2921176
"Biblioteca comunale Alessandro Minuziano ",1," San Severo (FG)",41.6823966,15.3758423,15.3758423,41.6823966
"Biblioteca Seminariale Paolo VI ",1," Aversa (CE)",40.9772954,14.2035587,14.2035587,40.9772954
"Biblioteca del Collegio San Bonaventura ",1," Roma (RM)",41.8490024,12.5668473,12.5668473,41.8490024
"Biblioteca dell'Istituto della enciclopedia italiana Giovanni Treccani ",1," Roma (RM)",41.8943546,12.4774983,12.4774983,41.8943546
"Biblioteca comunale Pietro Siciliani ",1," Galatina (LE)",40.1762771,18.1676235,18.1676235,40.1762771
"Biblioteca comunale G. Altieri ",1," Morolo (FR)",41.6402504,13.196105,13.196105,41.6402504
"Biblioteca Metropolitana De Gemmis ",1," Bari (BA)",41.1279808,16.8698908,16.8698908,41.1279808
Biblioteca della Fondazione Lelio e Lisli Basso Onlus,1," Roma (RM)",41.8987456,12.4753995,12.4753995,41.8987456
"Biblioteca Porziuncola ",1," Assisi (PG)",41.1304679,14.7798542,14.7798542,41.1304679
"Biblioteca comunale Marco Gatti ",1," Manduria (TA)",40.3990947,17.6352815,17.6352815,40.3990947
"BIBLIOTECA DELLA GALLERIA REGIONALE DELLA SICILIA DI PALAZZO ABATELLIS ",1," Palermo (PA) ",38.1266204,13.3422944,13.3422944,38.1266204
"Biblioteca Provinciale di Potenza ",1," Potenza (PZ)",40.643824,15.8021339,15.8021339,40.643824
"Biblioteca dell'Abbazia di San Michele Arcangelo ",1," Procida (NA)",40.7955863,14.1080905,14.1080905,40.7955863
"Biblioteca regionale universitaria ",1," Catania (CT)",37.5036918,15.086723,15.086723,37.5036918
"Biblioteca della Società di storia patria per la Sicilia orientale dell'Università degli studi di Catania ",1," Catania (CT)",37.5077302,15.0857058,15.0857058,37.5077302
"Biblioteca Apulia ",1," Manduria (TA)",40.40126,17.6332985,17.6332985,40.40126
"Biblioteca Painiana del Seminario Arcivescovile S. Pio X ",1," Messina (ME)",38.2138693,15.5491725,15.5491725,38.2138693
"Biblioteca statale Antonio Baldini ",1," Roma (RM)",41.9195802,12.4855966,12.4855966,41.9195802
"Biblioteca nazionale ",1," Cosenza (CS)",39.2884033,16.2616807,16.2616807,39.2884033
"Biblioteca del Seminario vescovile di Lucera ",1," Lucera (FG)",41.5075372,12.6970661,12.6970661,41.5075372
"Biblioteca dell'Archivio di Stato di Campobasso ",1," Campobasso (CB)",41.5619864,14.6600029,14.6600029,41.5619864
"Biblioteca del Museo etnografico Beniamino Tartaglia ",1," Aquilonia (AV)",40.9888491,15.4766747,15.4766747,40.9888491
"Biblioteca Pasquale Albino ",1," Campobasso (CB)",41.5619342,14.662227,14.662227,41.5619342
"Biblioteca statale del Monumento nazionale di S. Scolastica ",1," Subiaco (RM)",41.9184618,13.1111243,13.1111243,41.9184618
"Biblioteca Centrale Giuridica ",1," Roma (RM)",41.9043765,12.4677826,12.4677826,41.9043765
"Biblioteca comunale Imbriani Poerio ",1," Pomigliano d'Arco (NA)",40.9040593,14.3831195,14.3831195,40.9040593
"Biblioteca della Fondazione Gramsci ",1," Roma (RM)",41.9228739,12.5063569,12.5063569,41.9228739
"Polo Bibliomuseale Biblioteca ",1," Brindisi (BR)",40.6326216,17.9384183,17.9384183,40.6326216
"Biblioteca dell'Accademia nazionale di San Luca ",1," Roma (RM)",41.9015916,12.4630902,12.4630902,41.9015916
"Biblioteca Pubblica Statale annessa al Monumento nazionale di Montevergine ",1," Mercogliano (AV)",40.9189262,14.7494855,14.7494855,40.9189262
"BIBLIOTECA PROVINCIALE DI SALERNO ",1," Salerno (SA)",40.6853053,14.7681111,14.7681111,40.6853053
